year,hs_version,source_country_iso3c,exporter_iso3c,consumer_iso3c,dom_source,sciname,habitat,method,consumption_source,sciname_hs_modified,consumption_live_t
2002,HS02,ARG,ARG,IDN,domestic,callorhinchus callorynchus,marine,capture,foreign,callorhinchus callorynchus,3.56338476250898
2002,HS02,ARG,ARG,IDN,domestic,carcharhiniformes,marine,capture,foreign,carcharhiniformes,7.09667463141275
2002,HS02,ARG,ARG,IDN,domestic,mustelus schmitti,marine,capture,foreign,mustelus schmitti,63.1107369960681
2002,HS02,ARG,ARG,IDN,domestic,squatina argentina,marine,capture,foreign,squatina argentina,0.0219419247785208
2002,HS02,ARG,IDN,CHN,foreign,carcharhiniformes,marine,capture,foreign,carcharhiniformes,0.50881425184607
2002,HS02,ARG,IDN,CHN,foreign,mustelus schmitti,marine,capture,foreign,mustelus schmitti,4.52488582271609
2002,HS02,ARG,IDN,LKA,foreign,callorhinchus callorynchus,marine,capture,foreign,callorhinchus callorynchus,0.701815530176664
2002,HS02,ARG,IDN,LKA,foreign,carcharhiniformes,marine,capture,foreign,carcharhiniformes,1.39770381277306
2002,HS02,ARG,IDN,LKA,foreign,mustelus schmitti,marine,capture,foreign,mustelus schmitti,12.4297818778204
2002,HS02,ARG,USA,IDN,foreign,rajiformes,marine,capture,foreign,rajiformes,0.141001943446018
2002,HS02,AUS,AUS,IDN,domestic,elasmobranchii,marine,capture,foreign,elasmobranchii,19.523844236801
2002,HS02,AUS,AUS,IDN,domestic,rajiformes,marine,capture,foreign,rajiformes,0.166281302149078
2002,HS02,AUS,AUS,IDN,domestic,squatinidae,marine,capture,foreign,squatinidae,0.0553678232207953
2002,HS02,AUS,IDN,AUS,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,0.448409036180512
2002,HS02,AUS,IDN,GBR,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,0.446451497764114
2002,HS02,AUS,IDN,JPN,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,6.95120960668795
2002,HS02,AUS,IDN,NLD,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,1.59125671363446
2002,HS02,AUS,IDN,USA,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,4.22862169156072
2002,HS02,AUS,IDN,USA,foreign,squatinidae,marine,capture,foreign,squatinidae,0.175289583586929
2002,HS02,CAN,CAN,IDN,domestic,rajidae,marine,capture,foreign,rajidae,0.0164887412293921
2002,HS02,IDN,AUS,CHN,foreign,alopias,marine,capture,foreign,alopias,0.00163207037606276
2002,HS02,IDN,AUS,CHN,foreign,prionace glauca,marine,capture,foreign,prionace glauca,0.00381235611713613
2002,HS02,IDN,AUS,THA,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,5.00014210985568
2002,HS02,IDN,AUS,THA,foreign,rajiformes,marine,capture,foreign,rajiformes,2.68102472962134
2002,HS02,IDN,BEL,DEU,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,15.693083757948
2002,HS02,IDN,BEL,DEU,foreign,rajiformes,marine,capture,foreign,rajiformes,11.8913932358613
2002,HS02,IDN,BEL,ESP,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,7.91142813418658
2002,HS02,IDN,BEL,ESP,foreign,rajiformes,marine,capture,foreign,rajiformes,29.7281411296364
2002,HS02,IDN,BEL,FRA,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,72.5158877893864
2002,HS02,IDN,BEL,FRA,foreign,rajiformes,marine,capture,foreign,rajiformes,96.9566170828257
2002,HS02,IDN,BEL,GBR,foreign,rajiformes,marine,capture,foreign,rajiformes,11.0121810676596
2002,HS02,IDN,BEL,GRC,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,1.13553766360755
2002,HS02,IDN,BEL,ITA,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,18.1267260980353
2002,HS02,IDN,BEL,ITA,foreign,rajiformes,marine,capture,foreign,rajiformes,23.1518206536195
2002,HS02,IDN,BEL,NLD,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,46.2209494069459
2002,HS02,IDN,BEL,NLD,foreign,rajiformes,marine,capture,foreign,rajiformes,50.9897671608291
2002,HS02,IDN,BEL,PRT,foreign,rajiformes,marine,capture,foreign,rajiformes,9.93242485961067
2002,HS02,IDN,CAN,AUS,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,0.539663525745408
2002,HS02,IDN,CAN,CHE,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,2.34339234905842
2002,HS02,IDN,CAN,CHE,foreign,rajiformes,marine,capture,foreign,rajiformes,1.50897178106058
2002,HS02,IDN,CAN,CHN,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,5.0838301589341
2002,HS02,IDN,CAN,CHN,foreign,rajiformes,marine,capture,foreign,rajiformes,3.04394513309068
2002,HS02,IDN,CAN,CZE,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,9.66036731462475
2002,HS02,IDN,CAN,CZE,foreign,rajiformes,marine,capture,foreign,rajiformes,5.63355684237916
2002,HS02,IDN,CAN,DEU,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,28.4130057900131
2002,HS02,IDN,CAN,DEU,foreign,rajiformes,marine,capture,foreign,rajiformes,17.6568743455
2002,HS02,IDN,CAN,ESP,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,0.914711269196306
2002,HS02,IDN,CAN,ESP,foreign,rajiformes,marine,capture,foreign,rajiformes,0.502432529345892
2002,HS02,IDN,CAN,EST,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,1.29893317412649
2002,HS02,IDN,CAN,EST,foreign,rajiformes,marine,capture,foreign,rajiformes,0.713477905111064
2002,HS02,IDN,CAN,FRA,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,20.2145128001348
2002,HS02,IDN,CAN,FRA,foreign,rajiformes,marine,capture,foreign,rajiformes,11.5034385789062
2002,HS02,IDN,CAN,GBR,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,2.05932381721142
2002,HS02,IDN,CAN,GBR,foreign,rajiformes,marine,capture,foreign,rajiformes,1.05154123522206
2002,HS02,IDN,CAN,GRC,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,0.615082291111742
2002,HS02,IDN,CAN,IDN,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,0.383303546188835
2002,HS02,IDN,CAN,ISR,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,3.4006378912044
2002,HS02,IDN,CAN,ISR,foreign,rajiformes,marine,capture,foreign,rajiformes,1.86720892072171
2002,HS02,IDN,CAN,ITA,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,10.570339393129
2002,HS02,IDN,CAN,ITA,foreign,rajiformes,marine,capture,foreign,rajiformes,5.80392051178266
2002,HS02,IDN,CAN,JPN,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,15.3358736346093
2002,HS02,IDN,CAN,JPN,foreign,rajiformes,marine,capture,foreign,rajiformes,9.70181546023118
2002,HS02,IDN,CAN,KOR,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,60.0980398537255
2002,HS02,IDN,CAN,KOR,foreign,rajiformes,marine,capture,foreign,rajiformes,40.7108716015153
2002,HS02,IDN,CAN,LTU,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,1.11470650078407
2002,HS02,IDN,CAN,LTU,foreign,rajiformes,marine,capture,foreign,rajiformes,0.612285893404746
2002,HS02,IDN,CAN,LVA,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,0.339045952313711
2002,HS02,IDN,CAN,MEX,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,0.61680380890068
2002,HS02,IDN,CAN,MEX,foreign,rajiformes,marine,capture,foreign,rajiformes,0.397176146135231
2002,HS02,IDN,CAN,POL,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,4.68905236051124
2002,HS02,IDN,CAN,POL,foreign,rajiformes,marine,capture,foreign,rajiformes,2.6296849849017
2002,HS02,IDN,CAN,PRT,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,0.668003754000092
2002,HS02,IDN,CAN,PRT,foreign,rajiformes,marine,capture,foreign,rajiformes,0.366921046058293
2002,HS02,IDN,CAN,RUS,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,1.11750755239592
2002,HS02,IDN,CAN,RUS,foreign,rajiformes,marine,capture,foreign,rajiformes,0.613824454799542
2002,HS02,IDN,CAN,SVK,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,1.26044565941597
2002,HS02,IDN,CAN,SVK,foreign,rajiformes,marine,capture,foreign,rajiformes,0.692337486253828
2002,HS02,IDN,CAN,TTO,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,0.845817170209818
2002,HS02,IDN,CAN,TTO,foreign,rajiformes,marine,capture,foreign,rajiformes,0.544643854579434
2002,HS02,IDN,CAN,TWN,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,1.78324850059478
2002,HS02,IDN,CAN,TWN,foreign,rajiformes,marine,capture,foreign,rajiformes,1.1482804691657
2002,HS02,IDN,CAN,USA,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,215.916733442666
2002,HS02,IDN,CAN,USA,foreign,rajiformes,marine,capture,foreign,rajiformes,137.795263254112
2002,HS02,IDN,CAN,ZAF,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,0.124773030784968
2002,HS02,IDN,CAN,ZAF,foreign,rajiformes,marine,capture,foreign,rajiformes,0.0803446262712135
2002,HS02,IDN,CHN,CAN,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,1.01018902800723
2002,HS02,IDN,CHN,CAN,foreign,rajiformes,marine,capture,foreign,rajiformes,4.78385299980438
2002,HS02,IDN,CHN,DEU,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,17.7617144736841
2002,HS02,IDN,CHN,DEU,foreign,rajiformes,marine,capture,foreign,rajiformes,15.2821543386379
2002,HS02,IDN,CHN,FRA,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,3.37006746726488
2002,HS02,IDN,CHN,FRA,foreign,rajiformes,marine,capture,foreign,rajiformes,2.17007484516396
2002,HS02,IDN,CHN,GBR,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,4.17521448446754
2002,HS02,IDN,CHN,GBR,foreign,rajiformes,marine,capture,foreign,rajiformes,2.68853013000973
2002,HS02,IDN,CHN,JPN,foreign,alopias,marine,capture,foreign,alopias,4.47894402484249
2002,HS02,IDN,CHN,JPN,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,57.1107062089507
2002,HS02,IDN,CHN,JPN,foreign,lamnidae,marine,capture,foreign,lamnidae,0.977792415927467
2002,HS02,IDN,CHN,JPN,foreign,prionace glauca,marine,capture,foreign,prionace glauca,10.4623733766993
2002,HS02,IDN,CHN,JPN,foreign,rajiformes,marine,capture,foreign,rajiformes,92.7130001579766
2002,HS02,IDN,CHN,JPN,foreign,sphyrnidae,marine,capture,foreign,sphyrnidae,1.76909373763482
2002,HS02,IDN,CHN,KOR,foreign,alopias,marine,capture,foreign,alopias,38.3977780085248
2002,HS02,IDN,CHN,KOR,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,20.706225103289
2002,HS02,IDN,CHN,KOR,foreign,lamnidae,marine,capture,foreign,lamnidae,8.38256872980732
2002,HS02,IDN,CHN,KOR,foreign,prionace glauca,marine,capture,foreign,prionace glauca,89.6934384829527
2002,HS02,IDN,CHN,KOR,foreign,rajiformes,marine,capture,foreign,rajiformes,57.0779221059539
2002,HS02,IDN,CHN,KOR,foreign,sphyrnidae,marine,capture,foreign,sphyrnidae,15.166358015908
2002,HS02,IDN,IDN,JPN,domestic,prionace glauca,marine,capture,foreign,prionace glauca,12.0665443648903
2002,HS02,IDN,CHN,POL,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,5.25938160169186
2002,HS02,IDN,CHN,POL,foreign,rajiformes,marine,capture,foreign,rajiformes,3.38665377646358
2002,HS02,IDN,CHN,RUS,foreign,rajiformes,marine,capture,foreign,rajiformes,3.12354340683296
2002,HS02,IDN,CHN,THA,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,0.179959433654585
2002,HS02,IDN,CHN,THA,foreign,rajiformes,marine,capture,foreign,rajiformes,1.74321716028992
2002,HS02,IDN,CHN,TWN,foreign,alopias,marine,capture,foreign,alopias,0.589845584047953
2002,HS02,IDN,CHN,TWN,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,7.1247127915262
2002,HS02,IDN,CHN,TWN,foreign,lamnidae,marine,capture,foreign,lamnidae,0.128768418504779
2002,HS02,IDN,CHN,TWN,foreign,prionace glauca,marine,capture,foreign,prionace glauca,1.37782135714991
2002,HS02,IDN,CHN,TWN,foreign,rajiformes,marine,capture,foreign,rajiformes,16.8171607276497
2002,HS02,IDN,CHN,TWN,foreign,sphyrnidae,marine,capture,foreign,sphyrnidae,0.232977264980998
2002,HS02,IDN,CHN,USA,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,27.4482189511486
2002,HS02,IDN,CHN,USA,foreign,prionace glauca,marine,capture,foreign,prionace glauca,0.141929907375211
2002,HS02,IDN,CHN,USA,foreign,rajiformes,marine,capture,foreign,rajiformes,40.1590377670865
2002,HS02,IDN,CZE,SVK,foreign,alopias,marine,capture,foreign,alopias,0.994044332415909
2002,HS02,IDN,CZE,SVK,foreign,prionace glauca,marine,capture,foreign,prionace glauca,3.09700608341861
2002,HS02,IDN,CZE,SVK,foreign,sphyrnidae,marine,capture,foreign,sphyrnidae,0.373782364698567
2002,HS02,IDN,DEU,AUT,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,29.9173715251078
2002,HS02,IDN,DEU,AUT,foreign,rajiformes,marine,capture,foreign,rajiformes,14.3358738549574
2002,HS02,IDN,DEU,BEL,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,16.7635745465882
2002,HS02,IDN,DEU,BEL,foreign,rajiformes,marine,capture,foreign,rajiformes,10.6701796634286
2002,HS02,IDN,DEU,CHE,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,1.58255353305625
2002,HS02,IDN,DEU,CHE,foreign,rajiformes,marine,capture,foreign,rajiformes,1.01904771696349
2002,HS02,IDN,DEU,CHN,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,0.0744825402154232
2002,HS02,IDN,DEU,CZE,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,2.38338405843825
2002,HS02,IDN,DEU,CZE,foreign,rajiformes,marine,capture,foreign,rajiformes,1.36229715067853
2002,HS02,IDN,DEU,ESP,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,9.91722750287787
2002,HS02,IDN,DEU,ESP,foreign,rajiformes,marine,capture,foreign,rajiformes,6.11923740415712
2002,HS02,IDN,DEU,EST,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,0.586418599388595
2002,HS02,IDN,DEU,EST,foreign,rajiformes,marine,capture,foreign,rajiformes,0.286953277032724
2002,HS02,IDN,DEU,FIN,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,1.31130344564087
2002,HS02,IDN,DEU,FIN,foreign,rajiformes,marine,capture,foreign,rajiformes,1.43734747342845
2002,HS02,IDN,DEU,FRA,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,72.424471977711
2002,HS02,IDN,DEU,FRA,foreign,rajiformes,marine,capture,foreign,rajiformes,45.4782901941437
2002,HS02,IDN,DEU,GBR,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,107.829812238168
2002,HS02,IDN,DEU,GBR,foreign,rajiformes,marine,capture,foreign,rajiformes,61.3541374182613
2002,HS02,IDN,DEU,GRC,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,2.19395051990347
2002,HS02,IDN,DEU,GRC,foreign,rajiformes,marine,capture,foreign,rajiformes,1.41274226857957
2002,HS02,IDN,DEU,IRL,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,0.178502773774466
2002,HS02,IDN,DEU,ITA,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,10.8168428946252
2002,HS02,IDN,DEU,ITA,foreign,rajiformes,marine,capture,foreign,rajiformes,8.8111350741818
2002,HS02,IDN,DEU,LTU,foreign,elasmobranchii,marine,capture,foreign,elasmobranchii,0.747696972260687
